Title,Cleaned_Content,Publication_Date,Source_URL,Category
Apple CEO was presented with an original Macintosh. See his reaction,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,"Tue, 18 Apr 2023 09:17:25 GMT",https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,Others
Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.","Tue, 18 Apr 2023 20:29:46 GMT",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,Others
"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials",• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow • Putin visits Russian troops at military headquarters in Kherson • Watch moment WSJ journalist appears in Russian court,,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,Others
Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,"Tue, 18 Apr 2023 19:07:52 GMT",https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Others
'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,"Tue, 18 Apr 2023 03:24:56 GMT",https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,Others
GOP prepared to block vote to replace Feinstein on Senate Judiciary,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.","Tue, 18 Apr 2023 22:03:13 GMT",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,Others
Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,,"Tue, 18 Apr 2023 17:33:17 GMT",https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,Others
McCarthy slams Biden in handling of US debt,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,"Tue, 18 Apr 2023 22:03:01 GMT",https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,Others
US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.","Wed, 19 Apr 2023 08:35:33 GMT",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,Others
Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.","Tue, 18 Apr 2023 09:41:42 GMT",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,Others
FDA clears the way for additional bivalent boosters for certain vulnerable individuals,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.","Tue, 18 Apr 2023 15:09:15 GMT",https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,Others
Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.","Wed, 19 Apr 2023 01:49:51 GMT",https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,Others
Southwest says flights resumed after delays caused by 'tech issues',• Delta Air Lines reports record bookings for summer travel • Air France and Airbus acquitted in trial over 2009 plane crash,"Tue, 18 Apr 2023 17:15:29 GMT",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,Others
Damar Hamlin cleared to resume football activities after January cardiac arrest,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.","Tue, 18 Apr 2023 22:11:37 GMT",https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,Others
Pilot makes history after landing on top of a 56-story hotel,Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.,"Sun, 19 Mar 2023 11:22:30 GMT",https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Others
Top US Navy admiral defends non-binary sailor amid some Republican criticism,"The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""","Tue, 18 Apr 2023 19:56:40 GMT",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,Others
Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,"The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.","Wed, 19 Apr 2023 15:31:24 GMT",https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,Others
High speed trains are racing across the world. But not in America,High speed trains have proved their worth across the world over the past 50 years.,"Wed, 19 Apr 2023 02:39:40 GMT",https://www.cnn.com/travel/article/high-speed-rail-us/index.html,Others
Podcast: One country musician is calling for other artists to oppose assault rifles,,,https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,Others
Here's what you need to know if you haven't filed your return yet — and even if you have,"It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)","Tue, 18 Apr 2023 14:15:43 GMT",https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,Others
"Undocumented immigrants are paying their taxes today, too",It's a surprising fact that's often overlooked in the immigration debate.,"Tue, 18 Apr 2023 18:29:24 GMT",https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,Others
Opinion: Why millionaires like us want to pay more in taxes,"Tuesday is Tax Day in America, one of the most stressful days of the year, when many taxpayers will finally end their procrastination, file their federal returns, and hope for a refund from the IRS. But for many of the nation's wealthiest, it's just another Tuesday.","Mon, 17 Apr 2023 19:32:49 GMT",https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,Others
'World's longest' purpose-built cycling tunnel opens in Norway,"There are many ways to explore the seven mountains that surround the picturesque UNESCO World Heritage city of Bergen on Norway's fjord-studded west coast. The newest, however, might well be record-breaking.","Tue, 18 Apr 2023 10:44:27 GMT",https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,Others
